class_name, cluster_id
ClassDefinition(BSHSwitchStatement,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHSwitchStatement.java):36,1
ClassDefinition(BSHTernaryExpression,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHTernaryExpression.java):42,1
ClassDefinition(BSHThrowStatement,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHThrowStatement.java):37,1
ClassDefinition(BSHTryStatement,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHTryStatement.java):39,1
ClassDefinition(BSHType,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHType.java):39,1
ClassDefinition(BSHTypedVariableDeclaration,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHTypedVariableDeclaration.java):36,1
ClassDefinition(BSHUnaryExpression,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHUnaryExpression.java):37,1
ClassDefinition(BSHVariableDeclarator,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHVariableDeclarator.java):41,1
ClassDefinition(BSHWhileStatement,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\BSHWhileStatement.java):40,1
ClassDefinition(CallStack,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\CallStack.java):62,1
ClassDefinition(Capabilities,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\Capabilities.java):49,1
ClassDefinition(Unavailable,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\Capabilities.java):137,1
ClassDefinition(ClassGenerator,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ClassGenerator.java):6,1
ClassDefinition(ClassGeneratorImpl,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ClassGeneratorImpl.java):12,1
ClassDefinition(ClassNodeFilter,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ClassGeneratorImpl.java):238,1
ClassDefinition(ClassGeneratorUtil,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ClassGeneratorUtil.java):80,1
ClassDefinition(ConstructorArgs,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ClassGeneratorUtil.java):1107,1
ClassDefinition(ClassIdentifier,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ClassIdentifier.java):36,1
ClassDefinition(ClassPathException,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ClassPathException.java):36,1
ClassDefinition(CollectionManager,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\CollectionManager.java):48,1
ClassDefinition(BasicBshIterator,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\CollectionManager.java):113,1
ClassDefinition(CommandLineReader,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\CommandLineReader.java):47,1
ClassDefinition(ConsoleInterface,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ConsoleInterface.java):46,1
ClassDefinition(DelayedEvalBshMethod,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\DelayedEvalBshMethod.java):36,1
ClassDefinition(EvalError,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\EvalError.java):47,1
ClassDefinition(ExternalNameSpace,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\ExternalNameSpace.java):30,1
ClassDefinition(Interpreter,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\Interpreter.java):92,1
ClassDefinition(InterpreterError,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\InterpreterError.java):40,1
ClassDefinition(JavaCharStream,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\JavaCharStream.java):9,1
ClassDefinition(JJTParserState,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\JJTParserState.java):5,1
ClassDefinition(JThis,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\JThis.java):60,1
ClassDefinition(LHS,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\LHS.java):52,1
ClassDefinition(Modifiers,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\Modifiers.java):12,1
ClassDefinition(Name,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\Name.java):95,1
ClassDefinition(NameSource,jedit_4.3\jEdit\org\gjt\sp\jedit\bsh\NameSource.java):49,1
